date,bitcoin,btc
2017-05-09 19:12:00,65,7
2017-05-09 19:20:00,62,0
2017-05-09 19:28:00,53,0
2017-05-09 19:36:00,62,1
2017-05-09 19:44:00,79,4
2017-05-09 19:52:00,65,5
2017-05-09 20:00:00,56,3
2017-05-09 20:08:00,72,3
2017-05-09 20:16:00,72,2
2017-05-09 20:24:00,71,6
2017-05-09 20:32:00,41,5
2017-05-09 20:40:00,71,6
2017-05-09 20:48:00,58,6
2017-05-09 20:56:00,68,5
2017-05-09 21:04:00,67,2
2017-05-09 21:12:00,80,5
2017-05-09 21:20:00,75,4
2017-05-09 21:28:00,98,2
2017-05-09 21:36:00,75,4
2017-05-09 21:44:00,95,2
2017-05-09 21:52:00,91,6
2017-05-09 22:00:00,64,2
2017-05-09 22:08:00,80,2
2017-05-09 22:16:00,48,4
2017-05-09 22:24:00,74,9
2017-05-09 22:32:00,60,2
2017-05-09 22:40:00,86,0
2017-05-09 22:48:00,56,2
2017-05-09 22:56:00,69,0
2017-05-09 23:04:00,46,7
2017-05-09 23:12:00,66,10
2017-05-09 23:20:00,71,7
2017-05-09 23:28:00,79,2
2017-05-09 23:36:00,69,2
2017-05-09 23:44:00,67,5
2017-05-09 23:52:00,72,2
2017-05-10 00:00:00,79,0
2017-05-10 00:00:00,79,0
2017-05-10 00:08:00,61,5
2017-05-10 00:16:00,76,2
2017-05-10 00:24:00,73,5
2017-05-10 00:32:00,63,7
2017-05-10 00:40:00,63,0
2017-05-10 00:48:00,46,5
2017-05-10 00:56:00,80,5
2017-05-10 01:04:00,62,0
2017-05-10 01:12:00,62,2
2017-05-10 01:20:00,69,2
2017-05-10 01:28:00,100,0
2017-05-10 01:36:00,48,0
2017-05-10 01:44:00,72,2
2017-05-10 01:52:00,46,0
2017-05-10 02:00:00,97,10
2017-05-10 02:08:00,63,2
2017-05-10 02:16:00,64,5
2017-05-10 02:24:00,83,2
2017-05-10 02:32:00,74,2
2017-05-10 02:40:00,65,3
2017-05-10 02:48:00,50,8
2017-05-10 02:56:00,71,0
2017-05-10 03:04:00,43,8
2017-05-10 03:12:00,61,8
2017-05-10 03:20:00,87,5
2017-05-10 03:28:00,77,3
2017-05-10 03:36:00,73,8
2017-05-10 03:44:00,78,3
2017-05-10 03:52:00,65,5
2017-05-10 04:00:00,86,3
2017-05-10 04:08:00,73,5
2017-05-10 04:16:00,81,3
2017-05-10 04:24:00,60,16
2017-05-10 04:32:00,80,0
2017-05-10 04:40:00,74,0
2017-05-10 04:48:00,78,3
2017-05-10 04:56:00,96,10
2017-05-10 05:04:00,57,0
2017-05-10 05:12:00,69,2
2017-05-10 05:20:00,61,0
2017-05-10 05:28:00,58,7
2017-05-10 05:36:00,50,10
2017-05-10 05:44:00,45,7
2017-05-10 05:52:00,70,2
2017-05-10 06:00:00,91,5
2017-05-10 06:08:00,72,2
2017-05-10 06:16:00,68,2
2017-05-10 06:24:00,68,4
2017-05-10 06:32:00,63,13
2017-05-10 06:40:00,43,4
2017-05-10 06:48:00,70,6
2017-05-10 06:56:00,48,4
2017-05-10 07:04:00,51,2
2017-05-10 07:12:00,49,4
2017-05-10 07:20:00,49,2
2017-05-10 07:28:00,37,2
2017-05-10 07:36:00,48,4
2017-05-10 07:44:00,58,2
2017-05-10 07:52:00,46,4
2017-05-10 08:00:00,28,0
2017-05-10 08:08:00,63,4
2017-05-10 08:16:00,45,2
2017-05-10 08:24:00,55,10
2017-05-10 08:32:00,60,10
2017-05-10 08:40:00,44,4
2017-05-10 08:48:00,50,2
2017-05-10 08:56:00,40,0
2017-05-10 09:04:00,48,12
2017-05-10 09:12:00,49,9
2017-05-10 09:20:00,45,0
2017-05-10 09:28:00,56,4
2017-05-10 09:36:00,47,6
2017-05-10 09:44:00,37,2
2017-05-10 09:52:00,50,2
2017-05-10 10:00:00,56,7
2017-05-10 10:08:00,44,0
2017-05-10 10:16:00,67,5
2017-05-10 10:24:00,47,7
2017-05-10 10:32:00,34,4
2017-05-10 10:40:00,39,5
2017-05-10 10:48:00,48,3
2017-05-10 10:56:00,52,5
2017-05-10 11:04:00,64,3
2017-05-10 11:12:00,58,3
2017-05-10 11:20:00,52,2
2017-05-10 11:28:00,38,3
2017-05-10 11:36:00,41,2
2017-05-10 11:44:00,34,0
2017-05-10 11:52:00,51,9
2017-05-10 12:00:00,48,3
2017-05-10 12:08:00,46,3
2017-05-10 12:16:00,49,9
2017-05-10 12:24:00,45,7
2017-05-10 12:32:00,51,6
2017-05-10 12:40:00,49,3
2017-05-10 12:48:00,40,7
2017-05-10 12:56:00,47,7
2017-05-10 13:04:00,60,4
2017-05-10 13:12:00,58,6
2017-05-10 13:20:00,51,4
2017-05-10 13:28:00,78,7
2017-05-10 13:36:00,55,1
2017-05-10 13:44:00,61,3
2017-05-10 13:52:00,66,5
2017-05-10 14:00:00,50,3
2017-05-10 14:08:00,36,1
2017-05-10 14:16:00,56,1
2017-05-10 14:24:00,64,5
2017-05-10 14:32:00,72,8
2017-05-10 14:40:00,65,3
2017-05-10 14:48:00,63,3
2017-05-10 14:56:00,59,4
2017-05-10 15:04:00,78,4
2017-05-10 15:12:00,59,4
2017-05-10 15:20:00,65,3
2017-05-10 15:28:00,60,4
2017-05-10 15:36:00,68,8
2017-05-10 15:44:00,56,7
2017-05-10 15:52:00,66,3
2017-05-10 16:00:00,69,6
2017-05-10 16:08:00,64,3
2017-05-10 16:16:00,53,0
2017-05-10 16:24:00,65,3
2017-05-10 16:32:00,76,1
2017-05-10 16:40:00,66,1
2017-05-10 16:48:00,73,6
2017-05-10 16:56:00,68,0
2017-05-10 17:04:00,55,7
2017-05-10 17:12:00,41,6
2017-05-10 17:20:00,74,3
2017-05-10 17:28:00,56,6
2017-05-10 17:36:00,68,7
2017-05-10 17:44:00,44,3
2017-05-10 17:52:00,43,3
2017-05-10 18:00:00,61,3
2017-05-10 18:08:00,53,4
2017-05-10 18:16:00,56,1
2017-05-10 18:24:00,58,0
2017-05-10 18:32:00,42,3
2017-05-10 18:40:00,59,4
2017-05-10 18:48:00,53,10
2017-05-10 18:56:00,57,0
2017-05-10 19:04:00,55,3
2017-05-10 19:12:00,53,1
2017-05-10 19:20:00,58,6
2017-05-10 19:28:00,46,3
2017-05-10 19:36:00,58,3
2017-05-10 19:44:00,67,1
2017-05-10 19:52:00,51,3
2017-05-10 20:00:00,39,0
2017-05-10 20:08:00,46,6
2017-05-10 20:16:00,65,5
2017-05-10 20:24:00,60,2
2017-05-10 20:32:00,53,2
2017-05-10 20:40:00,49,2
2017-05-10 20:48:00,51,3
2017-05-10 20:56:00,53,2
2017-05-10 21:04:00,57,0
2017-05-10 21:12:00,56,6
2017-05-10 21:20:00,54,0
2017-05-10 21:28:00,61,0
2017-05-10 21:36:00,71,6
2017-05-10 21:44:00,78,8
2017-05-10 21:52:00,76,6
2017-05-10 22:00:00,46,4
2017-05-10 22:08:00,64,2
2017-05-10 22:16:00,65,7
2017-05-10 22:24:00,60,7
2017-05-10 22:32:00,59,2
2017-05-10 22:40:00,52,0
2017-05-10 22:48:00,62,5
2017-05-10 22:56:00,58,2
2017-05-10 23:04:00,66,5
2017-05-10 23:12:00,64,5
2017-05-10 23:20:00,42,2
2017-05-10 23:28:00,55,5
2017-05-10 23:36:00,91,5
2017-05-10 23:44:00,40,0
2017-05-10 23:52:00,55,5
2017-05-11 00:00:00,50,0
2017-05-11 00:00:00,49,0
2017-05-11 00:08:00,51,2
2017-05-11 00:16:00,31,2
2017-05-11 00:24:00,41,0
2017-05-11 00:32:00,41,5
2017-05-11 00:40:00,55,2
2017-05-11 00:48:00,38,2
2017-05-11 00:56:00,52,5
2017-05-11 01:04:00,71,2
2017-05-11 01:12:00,54,2
2017-05-11 01:20:00,44,5
2017-05-11 01:28:00,61,0
2017-05-11 01:36:00,66,7
2017-05-11 01:44:00,56,5
2017-05-11 01:52:00,73,5
2017-05-11 02:00:00,38,2
