date,ripple,xrp
2018-02-14 04:24:00,26,0
2018-02-14 04:32:00,46,26
2018-02-14 04:40:00,33,13
2018-02-14 04:48:00,67,13
2018-02-14 04:56:00,20,20
2018-02-14 05:04:00,20,13
2018-02-14 05:12:00,79,0
2018-02-14 05:20:00,46,7
2018-02-14 05:28:00,59,7
2018-02-14 05:36:00,20,26
2018-02-14 05:44:00,26,6
2018-02-14 05:52:00,45,6
2018-02-14 06:00:00,13,13
2018-02-14 06:08:00,43,6
2018-02-14 06:16:00,49,6
2018-02-14 06:24:00,55,6
2018-02-14 06:32:00,36,12
2018-02-14 06:40:00,48,30
2018-02-14 06:48:00,77,18
2018-02-14 06:56:00,52,17
2018-02-14 07:04:00,23,11
2018-02-14 07:12:00,51,17
2018-02-14 07:20:00,56,6
2018-02-14 07:28:00,50,6
2018-02-14 07:36:00,27,16
2018-02-14 07:44:00,54,16
2018-02-14 07:52:00,64,21
2018-02-14 08:00:00,31,5
2018-02-14 08:08:00,67,0
2018-02-14 08:16:00,56,10
2018-02-14 08:24:00,41,15
2018-02-14 08:32:00,40,5
2018-02-14 08:40:00,65,5
2018-02-14 08:48:00,45,10
2018-02-14 08:56:00,50,15
2018-02-14 09:04:00,44,10
2018-02-14 09:12:00,54,0
2018-02-14 09:20:00,48,5
2018-02-14 09:28:00,48,14
2018-02-14 09:36:00,38,0
2018-02-14 09:44:00,28,0
2018-02-14 09:52:00,52,9
2018-02-14 10:00:00,57,5
2018-02-14 10:08:00,23,9
2018-02-14 10:16:00,46,28
2018-02-14 10:24:00,41,14
2018-02-14 10:32:00,55,14
2018-02-14 10:40:00,58,9
2018-02-14 10:48:00,45,23
2018-02-14 10:56:00,45,18
2018-02-14 11:04:00,40,22
2018-02-14 11:12:00,53,18
2018-02-14 11:20:00,30,0
2018-02-14 11:28:00,56,13
2018-02-14 11:36:00,73,17
2018-02-14 11:44:00,46,8
2018-02-14 11:52:00,67,13
2018-02-14 12:00:00,42,13
2018-02-14 12:08:00,37,8
2018-02-14 12:16:00,69,12
2018-02-14 12:24:00,52,12
2018-02-14 12:32:00,24,8
2018-02-14 12:40:00,46,12
2018-02-14 12:48:00,23,8
2018-02-14 12:56:00,46,4
2018-02-14 13:04:00,83,8
2018-02-14 13:12:00,55,18
2018-02-14 13:20:00,70,11
2018-02-14 13:28:00,77,4
2018-02-14 13:36:00,54,7
2018-02-14 13:44:00,50,4
2018-02-14 13:52:00,78,18
2018-02-14 14:00:00,64,32
2018-02-14 14:08:00,39,18
2018-02-14 14:16:00,56,17
2018-02-14 14:24:00,35,17
2018-02-14 14:32:00,45,21
2018-02-14 14:40:00,38,14
2018-02-14 14:48:00,65,17
2018-02-14 14:56:00,44,17
2018-02-14 15:04:00,68,17
2018-02-14 15:12:00,78,27
2018-02-14 15:20:00,51,7
2018-02-14 15:28:00,71,7
2018-02-14 15:36:00,58,7
2018-02-14 15:44:00,71,7
2018-02-14 15:52:00,58,17
2018-02-14 16:00:00,68,10
2018-02-14 16:08:00,54,24
2018-02-14 16:16:00,72,24
2018-02-14 16:24:00,65,21
2018-02-14 16:32:00,55,17
2018-02-14 16:40:00,58,10
2018-02-14 16:48:00,62,17
2018-02-14 16:56:00,35,24
2018-02-14 17:04:00,60,25
2018-02-14 17:12:00,67,11
2018-02-14 17:20:00,50,11
2018-02-14 17:28:00,64,18
2018-02-14 17:36:00,54,29
2018-02-14 17:44:00,61,0
2018-02-14 17:52:00,69,22
2018-02-14 18:00:00,40,22
2018-02-14 18:08:00,78,4
2018-02-14 18:16:00,78,11
2018-02-14 18:24:00,60,19
2018-02-14 18:32:00,45,19
2018-02-14 18:40:00,37,19
2018-02-14 18:48:00,64,8
2018-02-14 18:56:00,87,19
2018-02-14 19:04:00,76,4
2018-02-14 19:12:00,53,8
2018-02-14 19:20:00,54,4
2018-02-14 19:28:00,53,4
2018-02-14 19:36:00,57,15
2018-02-14 19:44:00,49,15
2018-02-14 19:52:00,53,15
2018-02-14 20:00:00,73,12
2018-02-14 20:08:00,71,16
2018-02-14 20:16:00,55,8
2018-02-14 20:24:00,52,16
2018-02-14 20:32:00,38,19
2018-02-14 20:40:00,55,12
2018-02-14 20:48:00,61,28
2018-02-14 20:56:00,71,17
2018-02-14 21:04:00,38,21
2018-02-14 21:12:00,82,13
2018-02-14 21:20:00,70,13
2018-02-14 21:28:00,83,18
2018-02-14 21:36:00,68,26
2018-02-14 21:44:00,44,9
2018-02-14 21:52:00,87,14
2018-02-14 22:00:00,57,9
2018-02-14 22:08:00,39,24
2018-02-14 22:16:00,64,25
2018-02-14 22:24:00,65,30
2018-02-14 22:32:00,62,5
2018-02-14 22:40:00,63,42
2018-02-14 22:48:00,86,16
2018-02-14 22:56:00,82,16
2018-02-14 23:04:00,84,22
2018-02-14 23:12:00,79,11
2018-02-14 23:20:00,63,34
2018-02-14 23:28:00,59,6
2018-02-14 23:36:00,29,23
2018-02-14 23:44:00,89,12
2018-02-14 23:52:00,48,18
2018-02-15 00:00:00,73,12
2018-02-15 00:00:00,70,12
2018-02-15 00:08:00,82,12
2018-02-15 00:16:00,18,18
2018-02-15 00:24:00,83,12
2018-02-15 00:32:00,71,6
2018-02-15 00:40:00,48,18
2018-02-15 00:48:00,65,18
2018-02-15 00:56:00,42,12
2018-02-15 01:04:00,30,6
2018-02-15 01:12:00,42,6
2018-02-15 01:20:00,66,6
2018-02-15 01:28:00,60,6
2018-02-15 01:36:00,48,12
