date,bitcoin,btc,etherium,etc,ripple,xrp,btcoin cash,bcc,eos.io,eos,litecoin,ltc,cardano,ada,str,iota,miota,tron,trx,tether usd,usd tether,usdt
2018-02-12 20:00:00,49,4,19,0,41,4,0,0,0,0,21,7,0,20,16,58,0,16,0,0,0,0
2018-02-12 20:08:00,44,2,39,39,54,19,0,0,0,40,100,0,0,20,0,45,15,32,16,0,0,0
2018-02-12 20:16:00,60,2,0,20,82,19,0,14,0,20,72,0,0,41,0,30,0,0,0,0,0,0
2018-02-12 20:24:00,53,1,0,20,70,12,0,0,0,20,94,7,21,0,0,15,0,0,33,0,0,0
2018-02-12 20:32:00,74,4,0,40,79,12,0,0,0,20,59,0,0,21,0,31,0,50,0,0,0,0
2018-02-12 20:40:00,77,3,20,0,75,28,0,0,0,0,74,7,0,42,8,15,0,17,0,0,0,0
2018-02-12 20:48:00,100,2,0,0,79,12,0,0,0,0,73,0,21,0,8,0,0,0,50,0,0,0
2018-02-12 20:56:00,95,2,0,41,48,12,0,44,0,21,45,0,0,64,9,16,0,0,0,0,0,0
2018-02-12 21:04:00,55,2,0,21,41,4,0,15,0,21,38,8,22,65,9,32,0,0,0,0,0,0
2018-02-12 21:12:00,63,2,0,42,83,21,0,0,0,0,54,0,22,44,0,32,0,0,0,0,0,0
2018-02-12 21:20:00,53,2,0,21,68,17,0,0,22,0,63,8,0,0,0,0,17,18,0,0,0,0
2018-02-12 21:28:00,65,5,0,22,82,17,0,0,0,22,40,0,23,0,0,34,0,18,0,0,0,0
2018-02-12 21:36:00,54,3,22,22,70,18,0,0,0,23,49,0,23,0,0,0,0,0,0,0,0,70
2018-02-12 21:44:00,53,4,0,22,79,22,0,0,0,23,33,0,0,0,9,0,0,0,0,0,0,0
2018-02-12 21:52:00,48,2,23,69,63,27,0,0,0,47,42,0,0,0,10,53,0,38,0,0,0,0
2018-02-12 22:00:00,49,1,0,0,51,14,0,34,0,48,52,0,0,0,10,18,0,0,0,0,0,0
2018-02-12 22:08:00,55,3,48,96,80,14,0,0,0,24,79,0,25,0,10,37,0,20,0,0,0,0
2018-02-12 22:16:00,53,3,49,24,86,24,0,18,0,0,36,0,0,0,0,37,0,40,20,0,0,0
2018-02-12 22:24:00,50,2,0,25,44,20,0,0,0,0,73,9,26,52,0,38,0,83,0,0,0,0
2018-02-12 22:32:00,60,0,0,51,50,20,0,0,0,26,37,9,0,0,0,39,0,42,0,0,0,79
2018-02-12 22:40:00,54,1,0,0,46,0,0,0,0,26,47,0,54,27,0,40,0,64,43,81,81,0
2018-02-12 22:48:00,66,3,0,0,78,10,0,19,0,27,87,0,27,27,0,0,0,0,0,0,0,0
2018-02-12 22:56:00,65,1,0,0,58,0,0,0,0,0,60,0,0,28,0,21,0,22,22,0,0,0
2018-02-12 23:04:00,60,2,27,27,59,11,0,20,0,0,61,0,29,57,0,0,0,0,0,0,0,0
2018-02-12 23:12:00,61,3,28,0,60,16,0,0,0,28,41,0,0,58,0,65,0,23,46,0,0,87
2018-02-12 23:20:00,49,4,0,0,78,28,0,20,0,29,63,10,30,30,0,66,0,24,47,0,0,0
2018-02-12 23:28:00,55,4,0,58,45,34,0,0,0,59,53,11,0,0,12,0,0,48,0,0,0,0
2018-02-12 23:36:00,56,3,0,29,74,11,0,0,0,0,43,0,0,0,0,22,0,0,0,0,0,0
2018-02-12 23:44:00,64,3,29,0,63,23,0,21,0,0,65,0,0,31,12,45,0,0,0,0,0,92
2018-02-12 23:52:00,59,4,30,30,53,18,0,21,0,30,54,0,0,0,0,23,0,0,25,0,0,0
2018-02-13 00:00:00,51,4,30,30,47,18,0,0,0,31,88,0,31,31,0,23,0,100,75,0,0,0
2018-02-13 00:00:00,80,6,25,25,53,20,0,0,0,26,81,0,22,22,0,33,0,100,75,0,0,0
2018-02-13 00:08:00,74,2,0,0,39,13,0,0,0,51,60,10,0,22,23,0,32,0,0,0,0,0
2018-02-13 00:16:00,83,4,49,0,26,13,0,0,0,0,40,10,22,0,0,32,0,25,25,0,0,0
2018-02-13 00:24:00,100,3,24,24,46,26,0,30,0,77,60,0,0,0,46,32,0,0,0,0,0,0
2018-02-13 00:32:00,76,4,24,24,46,13,0,30,0,0,40,10,0,0,0,0,0,0,25,0,0,0
2018-02-13 00:40:00,83,6,0,24,86,0,0,0,0,52,40,0,0,22,0,0,0,0,0,0,0,0
2018-02-13 00:48:00,88,2,24,0,46,20,0,0,0,77,20,10,0,22,0,64,0,25,0,0,0,0
