date,bitcoin,btc,etherium,etc
2018-04-30 12:56:00,58,6,0,27
2018-04-30 13:04:00,76,2,0,41
2018-04-30 13:12:00,49,3,0,13
2018-04-30 13:20:00,56,4,13,27
2018-04-30 13:28:00,50,3,0,13
2018-04-30 13:36:00,52,7,0,26
2018-04-30 13:44:00,66,5,13,26
2018-04-30 13:52:00,71,3,13,0
2018-04-30 14:00:00,45,4,0,39
2018-04-30 14:08:00,61,5,0,13
2018-04-30 14:16:00,64,4,0,0
2018-04-30 14:24:00,70,2,13,26
2018-04-30 14:32:00,60,4,0,13
2018-04-30 14:40:00,59,3,0,38
2018-04-30 14:48:00,61,3,0,64
2018-04-30 14:56:00,68,2,0,26
2018-04-30 15:04:00,53,5,0,0
2018-04-30 15:12:00,75,3,0,26
2018-04-30 15:20:00,55,1,13,0
2018-04-30 15:28:00,53,5,0,13
2018-04-30 15:36:00,47,2,0,52
2018-04-30 15:44:00,71,6,0,0
2018-04-30 15:52:00,62,2,0,26
2018-04-30 16:00:00,59,6,0,0
2018-04-30 16:08:00,59,2,0,0
2018-04-30 16:16:00,56,2,0,0
2018-04-30 16:24:00,62,1,0,40
2018-04-30 16:32:00,52,4,0,14
2018-04-30 16:40:00,81,2,0,27
2018-04-30 16:48:00,50,4,0,13
2018-04-30 16:56:00,59,1,0,40
2018-04-30 17:04:00,55,1,13,13
2018-04-30 17:12:00,44,3,0,27
2018-04-30 17:20:00,67,3,14,0
2018-04-30 17:28:00,57,2,0,0
2018-04-30 17:36:00,74,2,14,27
2018-04-30 17:44:00,53,1,14,0
2018-04-30 17:52:00,57,3,14,14
2018-04-30 18:00:00,48,5,0,14
2018-04-30 18:08:00,47,5,0,0
2018-04-30 18:16:00,50,4,0,28
2018-04-30 18:24:00,56,0,14,14
2018-04-30 18:32:00,67,1,14,0
2018-04-30 18:40:00,55,2,0,0
2018-04-30 18:48:00,54,2,0,14
2018-04-30 18:56:00,56,3,0,14
2018-04-30 19:04:00,46,2,15,29
2018-04-30 19:12:00,53,3,15,0
2018-04-30 19:20:00,48,5,0,15
2018-04-30 19:28:00,50,3,0,30
2018-04-30 19:36:00,77,4,0,30
2018-04-30 19:44:00,62,1,16,0
2018-04-30 19:52:00,54,0,0,31
2018-04-30 20:00:00,65,1,0,15
2018-04-30 20:08:00,66,3,0,0
2018-04-30 20:16:00,49,1,0,0
2018-04-30 20:24:00,64,2,0,49
2018-04-30 20:32:00,56,2,0,16
